Sound,lower,upper,fundamental,H0,H1,H2,H3,H4,h0,h1,h2,h3,h4
Kick Drum,60,250,155,310,465,620,775,930,77.5,51.67,38.75,31,25.83
Toms,60,210,135,270,405,540,675,810,67.5,45,33.75,27,22.5
Snare,120,250,185,370,555,740,925,1110,92.5,61.67,46.25,37,30.83
Cymbal/Hi-hat,3000,5000,4000,8000,12000,16000,20000,24000,2000,1333.33,1000,800,666.67
Electric Guitar,82,1397,739.5,1479,2218.5,2958,3697.5,4437,369.75,246.5,184.88,147.9,123.25
Bass Guitar,41,262,151.5,303,454.5,606,757.5,909,75.75,50.5,37.88,30.3,25.25
Acoustic Guitar,82,1397,739.5,1479,2218.5,2958,3697.5,4437,369.75,246.5,184.88,147.9,123.25
Mandolin,136,1320,728,1456,2184,2912,3640,4368,364,242.67,182,145.6,121.33
Tenor Sax,104,659,381.5,763,1144.5,1526,1907.5,2289,190.75,127.17,95.38,76.3,63.58
Alto Sax,150,800,475,950,1425,1900,2375,2850,237.5,158.33,118.75,95,79.17
Harmonica Various,180,3100,1640,3280,4920,6560,8200,9840,820,546.67,410,328,273.33
Vocal (Baritone),87,349,218,436,654,872,1090,1308,109,72.67,54.5,43.6,36.33
Vocal (Tenor),130,523,326.5,653,979.5,1306,1632.5,1959,163.25,108.83,81.63,65.3,54.42
Vocal (Alto),180,700,440,880,1320,1760,2200,2640,220,146.67,110,88,73.33
Vocal (Soprano),250,1300,775,1550,2325,3100,3875,4650,387.5,258.33,193.75,155,129.17
Violin,196,4186,2191,4382,6573,8764,10955,13146,1095.5,730.33,547.75,438.2,365.17
Viola,315,1175,745,1490,2235,2980,3725,4470,372.5,248.33,186.25,149,124.17
Cello,65,988,526.5,1053,1579.5,2106,2632.5,3159,263.25,175.5,131.63,105.3,87.75
Double Bass,41,247,144,288,432,576,720,864,72,48,36,28.8,24
Piccolo,523,3951,2237,4474,6711,8948,11185,13422,1118.5,745.67,559.25,447.4,372.83
Flute,250,2500,1375,2750,4125,5500,6875,8250,687.5,458.33,343.75,275,229.17
Oboe,225,1500,862.5,1725,2587.5,3450,4312.5,5175,431.25,287.5,215.63,172.5,143.75
Clarinet,165,1568,866.5,1733,2599.5,3466,4332.5,5199,433.25,288.83,216.63,173.3,144.42
Accordion,180,1000,590,1180,1770,2360,2950,3540,295,196.67,147.5,118,98.33
Bassoon,60,620,340,680,1020,1360,1700,2040,170,113.33,85,68,56.67
Trumpet,165,988,576.5,1153,1729.5,2306,2882.5,3459,288.25,192.17,144.13,115.3,96.08
Trombone,60,500,280,560,840,1120,1400,1680,140,93.33,70,56,46.67
French Horn,110,880,495,990,1485,1980,2475,2970,247.5,165,123.75,99,82.5
Tuba (Bass),44,349,196.5,393,589.5,786,982.5,1179,98.25,65.5,49.13,39.3,32.75
Harp,30,7000,3515,7030,10545,14060,17575,21090,1757.5,1171.67,878.75,703,585.83
Harpsichord,40,1500,770,1540,2310,3080,3850,4620,385,256.67,192.5,154,128.33
Piano,28,4186,2107,4214,6321,8428,10535,12642,1053.5,702.33,526.75,421.4,351.17
Pipe Organ,16,7040,3528,7056,10584,14112,17640,21168,1764,1176,882,705.6,588
Keyboard / Synth,20,4000,2010,4020,6030,8040,10050,12060,1005,670,502.5,402,335
Female Voice,250,1000,625,1250,1875,2500,3125,3750,312.5,208.33,156.25,125,104.17
Male Voice,100,800,450,900,1350,1800,2250,2700,225,150,112.5,90,75
Sub Bass,16,60,38,76,114,152,190,228,19,12.67,9.5,7.6,6.33
Concert Flute,262,1976,1119,2238,3357,4476,5595,6714,559.5,373,279.75,223.8,186.5
Xylophone,700,3500,2100,4200,6300,8400,10500,12600,1050,700,525,420,350
Timpani (Drum),90,180,135,270,405,540,675,810,67.5,45,33.75,27,22.5
Contra Bass,41,330,185.5,371,556.5,742,927.5,1113,92.75,61.83,46.38,37.1,30.92
Bass,33,330,181.5,363,544.5,726,907.5,1089,90.75,60.5,45.38,36.3,30.25
Baritone Sax,65,440,252.5,505,757.5,1010,1262.5,1515,126.25,84.17,63.13,50.5,42.08
Soprano,262,1047,654.5,1309,1963.5,2618,3272.5,3927,327.25,218.17,163.63,130.9,109.08
Mezzo Soprano,110,880,495,990,1485,1980,2475,2970,247.5,165,123.75,99,82.5
Contra Alto,175,698,436.5,873,1309.5,1746,2182.5,2619,218.25,145.5,109.13,87.3,72.75
